Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Gross Rents,Year
13032,12811.0,44.4,51581.0,26359.0,1663.0,12.98103192568886,738.0,2015
13033,3792.0,40.0,60326.0,25980.0,378.0,9.968354430379748,694.0,2015
13034,1896.0,45.5,57000.0,31227.0,95.0,5.010548523206751,625.0,2015
13035,8605.0,46.1,70168.0,36664.0,511.0,5.938407902382336,819.0,2015
13036,8476.0,43.3,51722.0,24665.0,859.0,10.134497404436054,744.0,2015
13037,8758.0,41.7,64508.0,29415.0,718.0,8.198218771408998,728.0,2015
13039,17878.0,39.0,79474.0,33820.0,865.0,4.838348808591565,832.0,2015
13040,2502.0,41.8,46369.0,22481.0,317.0,12.66986410871303,759.0,2015
13041,11024.0,37.6,78929.0,32189.0,718.0,6.513062409288825,1118.0,2015
13042,2856.0,37.6,55625.0,21900.0,725.0,25.38515406162465,1039.0,2015
13044,2374.0,44.7,61027.0,28978.0,73.0,3.074978938500421,775.0,2015
13045,29816.0,32.7,46204.0,23102.0,4649.0,15.592299436544137,684.0,2015
13052,1698.0,47.1,53958.0,26104.0,248.0,14.605418138987044,575.0,2015
13053,4434.0,45.5,62917.0,35827.0,316.0,7.126747857465043,766.0,2015
13054,1699.0,44.0,51897.0,22608.0,491.0,28.899352560329607,722.0,2015
13057,14539.0,46.2,55848.0,29732.0,1376.0,9.464199738634019,777.0,2015
13060,2808.0,46.6,57083.0,27890.0,318.0,11.324786324786325,792.0,2015
13061,1110.0,49.8,59861.0,28983.0,169.0,15.225225225225225,1080.0,2015
13063,1974.0,39.4,78352.0,31606.0,56.0,2.8368794326241136,817.0,2015
13066,12115.0,47.3,77004.0,46222.0,537.0,4.43252166735452,940.0,2015
13068,5830.0,42.0,65813.0,30137.0,580.0,9.948542024013722,882.0,2015
13069,25314.0,38.7,43858.0,22121.0,5022.0,19.8388243659635,695.0,2015
13071,914.0,35.2,63750.0,24651.0,140.0,15.317286652078774,672.0,2015
13072,733.0,46.0,50938.0,21306.0,115.0,15.688949522510232,667.0,2015
13073,6405.0,41.6,54133.0,29472.0,773.0,12.068696330991413,769.0,2015
13074,4284.0,43.2,50992.0,23177.0,722.0,16.85340802987862,742.0,2015
13076,2512.0,43.2,51694.0,25028.0,308.0,12.261146496815286,-666666666.0,2015
13077,6895.0,40.9,57366.0,26614.0,623.0,9.035532994923859,696.0,2015
13078,10397.0,46.6,83558.0,47202.0,476.0,4.578243724151197,936.0,2015
13080,3773.0,43.7,58889.0,27081.0,233.0,6.175457195865359,675.0,2015
13081,1030.0,50.4,58173.0,36924.0,103.0,10.0,722.0,2015
13082,4511.0,45.2,58077.0,28596.0,379.0,8.401684770560852,714.0,2015
13083,1637.0,39.0,49952.0,23357.0,283.0,17.287721441661574,593.0,2015
13084,3976.0,38.8,66513.0,33113.0,373.0,9.38128772635815,929.0,2015
13087,203.0,58.3,133750.0,48211.0,11.0,5.41871921182266,-666666666.0,2015
13088,22457.0,45.5,53091.0,30138.0,2000.0,8.905909070668388,853.0,2015
13090,30630.0,38.2,68411.0,31268.0,2977.0,9.71922951354881,888.0,2015
13092,2640.0,43.3,63125.0,25878.0,305.0,11.553030303030303,685.0,2015
13101,2367.0,43.6,60344.0,25443.0,225.0,9.505703422053232,608.0,2015
13102,9.0,-666666666.0,-666666666.0,,0.0,0.0,-666666666.0,2015
13104,16000.0,43.1,99631.0,48906.0,755.0,4.71875,865.0,2015
13108,6450.0,44.7,75278.0,37124.0,230.0,3.565891472868217,732.0,2015
13110,2257.0,49.8,70769.0,34629.0,118.0,5.228178998670802,683.0,2015
13111,1623.0,43.5,52019.0,22369.0,457.0,28.1577325939618,646.0,2015
13112,1950.0,39.4,55000.0,26402.0,392.0,20.102564102564102,-666666666.0,2015
13113,264.0,37.1,61875.0,23171.0,19.0,7.196969696969697,820.0,2015
13114,6772.0,37.5,52188.0,23746.0,1339.0,19.77259303012404,651.0,2015
13115,192.0,33.9,40833.0,22672.0,97.0,50.520833333333336,-666666666.0,2015
13116,3514.0,33.9,59209.0,30814.0,92.0,2.6180990324416618,758.0,2015
13117,269.0,44.9,54750.0,21189.0,30.0,11.152416356877323,904.0,2015
13118,6247.0,41.2,56375.0,23232.0,578.0,9.252441171762445,637.0,2015
13120,1929.0,41.1,55795.0,25841.0,213.0,11.04199066874028,638.0,2015
13122,1325.0,36.5,61518.0,22753.0,82.0,6.188679245283019,536.0,2015
13123,229.0,58.1,66875.0,29783.0,0.0,0.0,-666666666.0,2015
13124,78.0,42.5,46094.0,31176.0,0.0,0.0,-666666666.0,2015
13126,36772.0,35.0,47467.0,24260.0,6772.0,18.416186228652236,721.0,2015
13131,3493.0,42.8,51847.0,23762.0,666.0,19.066704838247926,722.0,2015
13132,3347.0,47.6,57688.0,28287.0,340.0,10.158350761876306,868.0,2015
13134,97.0,52.1,44583.0,19654.0,15.0,15.463917525773196,-666666666.0,2015
13135,7065.0,40.2,49576.0,24476.0,1196.0,16.928520877565465,657.0,2015
13136,485.0,41.8,42212.0,19366.0,106.0,21.855670103092784,396.0,2015
13138,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,2015
13140,4362.0,44.0,49681.0,22810.0,561.0,12.861072902338377,753.0,2015
13141,583.0,37.2,44853.0,22721.0,117.0,20.06861063464837,875.0,2015
13142,6058.0,41.3,45542.0,23222.0,1073.0,17.712116209970286,714.0,2015
